Employe_Id	Boisson_Id	Date
N22929	2	25/11/2022
B77851	38	10/11/2022
A70424	29	04/11/2022
V84299	36	29/11/2022
O18047	10	20/11/2022
O18047	12	08/11/2022
E45872	24	01/11/2022
L47328	11	09/11/2022
L95633	22	08/11/2022
F50762	1	10/11/2022
Q86815	10	04/11/2022
V84299	21	02/11/2022
J67582	28	25/11/2022
G95624	20	20/11/2022
D78946	23	20/11/2022
L97294	3	25/11/2022
O00253	34	17/11/2022
Y47307	2	21/11/2022
Q17124	27	29/11/2022
Z53323	22	12/11/2022
Z91269	17	07/11/2022
M12306	36	15/11/2022
Q86815	20	21/11/2022
Y45556	24	06/11/2022
I09813	0	22/11/2022
Z27737	0	05/11/2022
J28942	31	09/11/2022
I56295	23	11/11/2022
O00253	41	20/11/2022
N32257	3	10/11/2022
O00253	24	15/11/2022
V90078	3	10/11/2022
H48167	28	22/11/2022
J28942	20	19/11/2022
A70424	25	06/11/2022
F93292	29	09/11/2022
V84299	20	10/11/2022
B77851	20	06/11/2022
A70424	28	18/11/2022
H59833	33	14/11/2022
N32257	23	26/11/2022
I56295	23	03/11/2022
F33683	3	06/11/2022
U18378	18	27/11/2022
F47721	37	14/11/2022
Y48318	1	05/11/2022
U61799	35	18/11/2022
B16336	21	01/11/2022
S92802	29	16/11/2022
L95633	23	27/11/2022
E45872	30	11/11/2022
V02493	23	10/11/2022
K24786	29	04/11/2022
V28351	0	11/11/2022
V02493	38	03/11/2022
O85368	3	29/11/2022
L91848	19	26/11/2022
K78882	36	27/11/2022
U18378	3	05/11/2022
E45872	2	19/11/2022
E45872	25	24/11/2022
G65344	6	07/11/2022
G82993	2	05/11/2022
Y75396	18	18/11/2022
Y96988	21	13/11/2022
F16023	3	26/11/2022
Z34962	23	26/11/2022
B46727	23	18/11/2022
V28351	20	18/11/2022
Q48675	29	21/11/2022
V84299	24	25/11/2022
O85368	37	14/11/2022
H59833	29	01/11/2022
Y48318	14	05/11/2022
J67582	18	23/11/2022
F16023	28	20/11/2022
G22804	19	27/11/2022
H48167	7	25/11/2022
E80025	20	10/11/2022
Y47307	35	02/11/2022
E80025	23	26/11/2022
K24786	33	10/11/2022
N61159	29	20/11/2022
I46489	25	17/11/2022
F33683	23	28/11/2022
Z27737	8	05/11/2022
N61159	25	21/11/2022
U61799	26	14/11/2022
B77851	30	27/11/2022
N61159	28	25/11/2022
F50762	38	20/11/2022
C70945	29	19/11/2022
Z60347	20	11/11/2022
V28351	10	11/11/2022
Z27737	20	23/11/2022
I29058	29	17/11/2022
F50762	7	15/11/2022
F16023	29	20/11/2022
Z34962	0	15/11/2022
M12306	22	15/11/2022
P35224	24	09/11/2022
P35224	24	07/11/2022
Q17124	26	01/11/2022
C70945	40	29/11/2022
V02493	21	26/11/2022
B77851	21	12/11/2022
Z60347	15	21/11/2022
P35224	37	04/11/2022
Z53323	33	14/11/2022
Z91269	22	27/11/2022
Q17124	29	04/11/2022
Y48318	3	16/11/2022
L97294	33	28/11/2022
V02493	29	13/11/2022
L91848	25	22/11/2022
F82217	3	20/11/2022
Z86263	28	18/11/2022
E80025	25	06/11/2022
Y45556	3	25/11/2022
K78882	10	11/11/2022
O85368	17	24/11/2022
L47328	12	13/11/2022
L91848	0	11/11/2022
W84980	27	16/11/2022
J28942	42	19/11/2022
Z34962	28	03/11/2022
E80025	28	11/11/2022
N22929	35	02/11/2022
J67582	2	19/11/2022
F69733	25	14/11/2022
V28351	21	13/11/2022
K24786	38	06/11/2022
A70424	29	26/11/2022
M12306	23	13/11/2022
Z91269	25	08/11/2022
Y96988	1	07/11/2022
U18378	23	08/11/2022
N22929	1	27/11/2022
U61799	3	27/11/2022
S92802	35	04/11/2022
V84299	29	01/11/2022
F93292	27	11/11/2022
U61799	8	02/11/2022
U18378	23	14/11/2022
N32257	25	28/11/2022
K35006	26	01/11/2022
J28942	25	06/11/2022
U48940	7	01/11/2022
F16023	16	19/11/2022
R97867	25	15/11/2022
I09813	2	04/11/2022
K78882	3	27/11/2022
Y75396	36	08/11/2022
W48418	29	10/11/2022
V84299	26	22/11/2022
Z34962	28	23/11/2022
M12306	28	02/11/2022
V28351	33	25/11/2022
F50762	22	04/11/2022
D78946	42	18/11/2022
V90078	21	10/11/2022
N22929	39	16/11/2022
B77851	28	21/11/2022
Y96988	43	19/11/2022
M66769	37	26/11/2022
I56295	16	25/11/2022
F47721	3	17/11/2022
L47328	39	18/11/2022
K24786	23	18/11/2022
V90078	20	27/11/2022
W84980	28	17/11/2022
J28942	25	13/11/2022
O18047	20	06/11/2022
Y96988	0	24/11/2022
H59833	0	16/11/2022
Y96988	3	20/11/2022
F33683	29	09/11/2022
B77851	23	08/11/2022
L91848	26	07/11/2022
Y45556	17	11/11/2022
Q86815	3	05/11/2022
Q17124	18	13/11/2022
Y96988	11	16/11/2022
Q17124	26	12/11/2022
H59833	24	22/11/2022
C70945	17	27/11/2022
O00253	28	10/11/2022
J28942	9	07/11/2022
Y75396	20	04/11/2022
H05458	36	11/11/2022
L95633	24	02/11/2022
F50762	21	29/11/2022
Y47307	27	11/11/2022
Y45556	21	02/11/2022
P35224	2	24/11/2022
G65344	19	09/11/2022
F50762	34	12/11/2022
N28315	25	16/11/2022
K24786	42	09/11/2022
F82217	20	18/11/2022
V90078	35	04/11/2022
O85368	14	06/11/2022
Y75396	35	13/11/2022
Y47307	41	29/11/2022
L91848	23	06/11/2022
F33683	27	05/11/2022
Y47307	18	24/11/2022
H05458	28	26/11/2022
A70424	26	09/11/2022
Y96988	22	16/11/2022
A70424	20	22/11/2022
L95633	27	17/11/2022
L47328	6	18/11/2022
Y48318	27	20/11/2022
V69700	34	18/11/2022
F50762	23	06/11/2022
F33683	23	14/11/2022
U61799	24	20/11/2022
Y45556	19	25/11/2022
Z60347	21	24/11/2022
V90078	9	06/11/2022
V84299	25	02/11/2022
J67582	27	20/11/2022
V90078	3	10/11/2022
W48418	25	06/11/2022
N28315	42	24/11/2022
D78946	23	14/11/2022
F50762	31	11/11/2022
O18047	28	17/11/2022
Z86263	21	21/11/2022
N32257	9	07/11/2022
K78882	26	09/11/2022
F69733	0	11/11/2022
C00234	7	05/11/2022
V02493	32	04/11/2022
Z53323	31	10/11/2022
S92802	20	14/11/2022
G82993	20	08/11/2022
S92802	31	29/11/2022
K35006	20	07/11/2022
O85368	31	26/11/2022
Z86263	28	26/11/2022
F82217	13	16/11/2022
L91848	0	28/11/2022
W84980	29	12/11/2022
I09813	26	25/11/2022
O18047	21	24/11/2022
O85368	38	22/11/2022
K24786	24	20/11/2022
G22804	22	22/11/2022
W48418	25	23/11/2022
R97867	27	07/11/2022
G82993	30	22/11/2022
H05458	0	22/11/2022
M12306	22	29/11/2022
Y45556	2	16/11/2022
B16336	29	18/11/2022
N22929	23	04/11/2022
C00234	38	01/11/2022
Y48318	10	20/11/2022
K78882	39	02/11/2022
F82217	35	15/11/2022
N80181	21	09/11/2022
D78946	3	21/11/2022
M12306	19	02/11/2022
G65344	23	07/11/2022
K35006	18	13/11/2022
Y45556	21	08/11/2022
Y48318	32	05/11/2022
J28942	24	14/11/2022
H05458	25	16/11/2022
Y45556	20	03/11/2022
Z86263	25	14/11/2022
U61799	2	24/11/2022
F33683	27	14/11/2022
I46489	28	16/11/2022
R97867	10	28/11/2022
B77851	10	07/11/2022
H48167	32	26/11/2022
O18047	3	24/11/2022
G95624	22	15/11/2022
G65344	3	19/11/2022
Y48318	23	21/11/2022
F16023	21	25/11/2022
U61799	28	01/11/2022
F47721	0	27/11/2022
E45872	27	28/11/2022
O85368	23	18/11/2022
R19192	24	11/11/2022
J28942	9	11/11/2022
L95633	0	13/11/2022
E80025	23	07/11/2022
V02493	29	08/11/2022
V28351	3	22/11/2022
Y48318	27	21/11/2022
Z34962	21	05/11/2022
M66769	21	04/11/2022
L97294	28	09/11/2022
U48940	21	10/11/2022
R19192	28	19/11/2022
Z60347	18	29/11/2022
U48940	10	02/11/2022
K24786	12	19/11/2022
J28942	25	03/11/2022
Y45556	3	12/11/2022
Y45556	28	09/11/2022
B16336	20	09/11/2022
Z86263	29	06/11/2022
R97867	21	16/11/2022
M66769	7	04/11/2022
J28942	31	28/11/2022
O85368	29	17/11/2022
H59833	28	04/11/2022
N22929	32	04/11/2022
Y75396	26	08/11/2022
Z86263	22	26/11/2022
W48418	18	28/11/2022
K35006	21	16/11/2022
U61799	25	09/11/2022
I56295	28	04/11/2022
V84299	23	16/11/2022
U18378	28	28/11/2022
U48940	43	16/11/2022
Z34962	9	22/11/2022
K24786	27	13/11/2022
B77851	3	06/11/2022
G95624	0	06/11/2022
V02493	24	27/11/2022
O00253	3	06/11/2022
S92802	36	03/11/2022
Q86815	20	25/11/2022
K78882	24	23/11/2022
U61799	3	11/11/2022
G22804	12	19/11/2022
L95633	29	16/11/2022
O00253	19	01/11/2022
U18378	23	26/11/2022
V90078	28	19/11/2022
I46489	23	25/11/2022
L91848	11	05/11/2022
Q48675	30	14/11/2022
B46727	32	14/11/2022
K35006	23	10/11/2022
F16023	20	10/11/2022
Q17124	27	14/11/2022
W84980	23	25/11/2022
O85368	25	24/11/2022
V69700	8	01/11/2022
M66769	29	23/11/2022
Q86815	0	08/11/2022
U18378	24	17/11/2022
J67582	3	28/11/2022
K35006	29	25/11/2022
Z34962	24	11/11/2022
B16336	11	19/11/2022
K35006	25	17/11/2022
O85368	9	07/11/2022
L91848	9	21/11/2022
Z60347	28	23/11/2022
U48940	29	25/11/2022
L47328	18	06/11/2022
G82993	9	28/11/2022
M66769	0	24/11/2022
N28315	22	09/11/2022
R19192	25	08/11/2022
V90078	17	27/11/2022
Y75396	41	23/11/2022
H48167	25	16/11/2022
E45872	12	09/11/2022
R19192	19	15/11/2022
U18378	36	20/11/2022
J28942	23	28/11/2022
Y45556	29	12/11/2022
W84980	20	04/11/2022
F16023	3	26/11/2022
U61799	21	26/11/2022
F50762	21	10/11/2022
Z86263	0	11/11/2022
N61159	27	23/11/2022
K78882	10	11/11/2022
Y96988	38	27/11/2022
K78882	20	10/11/2022
Q86815	22	19/11/2022
G95624	28	12/11/2022
Y47307	30	14/11/2022
V28351	26	17/11/2022
G95624	28	04/11/2022
F69733	29	02/11/2022
Y96988	0	08/11/2022
K35006	23	02/11/2022
Z86263	10	24/11/2022
N22929	28	07/11/2022
G65344	27	21/11/2022
A70424	29	23/11/2022
M12306	28	15/11/2022
G82993	0	22/11/2022
V02493	28	11/11/2022
V84299	16	03/11/2022
G22804	12	07/11/2022
K24786	24	05/11/2022
F82217	2	10/11/2022
K24786	39	03/11/2022
Y45556	18	28/11/2022
Z60347	27	27/11/2022
Z27737	16	28/11/2022
Y45556	2	16/11/2022
V69700	17	25/11/2022
Z86263	3	01/11/2022
N28315	0	13/11/2022
D78946	29	17/11/2022
Q86815	29	13/11/2022
V28351	29	22/11/2022
N28315	37	08/11/2022
Z60347	26	29/11/2022
F50762	15	28/11/2022
P35224	20	28/11/2022
C00234	0	13/11/2022
M66769	20	18/11/2022
I09813	21	27/11/2022
O18047	28	06/11/2022
Z34962	32	22/11/2022
N80181	20	21/11/2022
V69700	21	01/11/2022
B16336	21	08/11/2022
N22929	20	04/11/2022
Z91269	0	06/11/2022
Y45556	25	26/11/2022
Q48675	28	20/11/2022
B77851	28	28/11/2022
Z86263	26	11/11/2022
F82217	8	25/11/2022
V69700	2	17/11/2022
E45872	26	19/11/2022
Y75396	23	23/11/2022
K24786	20	27/11/2022
N61159	23	02/11/2022
Y45556	19	25/11/2022
F16023	35	18/11/2022
Z86263	42	20/11/2022
N22929	25	04/11/2022
R97867	23	18/11/2022
B16336	19	16/11/2022
V69700	29	05/11/2022
L47328	36	27/11/2022
F50762	21	16/11/2022
M66769	37	06/11/2022
F33683	29	14/11/2022
G22804	3	12/11/2022
J67582	3	07/11/2022
Z91269	25	11/11/2022
O85368	23	17/11/2022
Z60347	29	15/11/2022
S92802	23	26/11/2022
Y47307	28	20/11/2022
Y75396	3	29/11/2022
M12306	36	05/11/2022
F16023	21	22/11/2022
V69700	24	09/11/2022
B16336	38	28/11/2022
L47328	33	26/11/2022
Z91269	23	25/11/2022
L95633	27	06/11/2022
L97294	29	04/11/2022
V69700	29	15/11/2022
K35006	34	11/11/2022
V84299	10	22/11/2022
N28315	6	22/11/2022
Q17124	35	15/11/2022
U48940	2	13/11/2022
G65344	21	02/11/2022
Y45556	22	19/11/2022
U61799	38	22/11/2022
N28315	28	27/11/2022
B46727	14	22/11/2022
V02493	1	08/11/2022
O18047	8	29/11/2022
Z60347	3	15/11/2022
D78946	23	04/11/2022
W84980	25	03/11/2022
V69700	16	15/11/2022
Z53323	19	07/11/2022
J28942	0	08/11/2022
V02493	22	10/11/2022
F69733	6	15/11/2022
Y75396	24	14/11/2022
O18047	34	08/11/2022
O18047	28	02/11/2022
J67582	27	17/11/2022
I29058	18	13/11/2022
V28351	20	07/11/2022
W84980	3	03/11/2022
C00234	29	02/11/2022
K24786	27	12/11/2022
W48418	24	27/11/2022
V69700	1	15/11/2022
I56295	18	25/11/2022
O18047	28	18/11/2022
N22929	24	13/11/2022
S92802	28	16/11/2022
F16023	20	27/11/2022
Z60347	23	03/11/2022
G22804	34	09/11/2022
W84980	21	24/11/2022
Z91269	19	04/11/2022
L95633	36	28/11/2022
C00234	25	24/11/2022
W48418	25	11/11/2022
V69700	7	28/11/2022
F16023	28	15/11/2022
P35224	23	11/11/2022
F16023	29	24/11/2022
N32257	29	27/11/2022
D78946	18	01/11/2022
K35006	25	21/11/2022
F82217	19	03/11/2022
F69733	0	09/11/2022
L47328	29	23/11/2022
N80181	36	03/11/2022
Y48318	10	13/11/2022
I46489	38	07/11/2022
L97294	34	05/11/2022
D78946	29	04/11/2022
U48940	28	01/11/2022
N32257	24	09/11/2022
L47328	26	13/11/2022
B46727	28	09/11/2022
M12306	2	15/11/2022
S92802	30	16/11/2022
O85368	23	19/11/2022
I46489	4	14/11/2022
N28315	11	04/11/2022
V69700	36	28/11/2022
D78946	26	17/11/2022
O00253	21	15/11/2022
R19192	31	09/11/2022
Q86815	37	14/11/2022
O00253	29	11/11/2022
Y48318	37	19/11/2022
N28315	18	06/11/2022
K78882	27	28/11/2022
Q48675	21	08/11/2022
K78882	3	15/11/2022
Q48675	28	14/11/2022
G82993	25	19/11/2022
N22929	26	09/11/2022
L47328	35	20/11/2022
V84299	20	23/11/2022
J67582	28	14/11/2022
Y75396	39	12/11/2022
N61159	32	01/11/2022
B46727	21	28/11/2022
S92802	34	03/11/2022
U61799	35	23/11/2022
I29058	20	16/11/2022
J28942	35	13/11/2022
M12306	18	06/11/2022
V28351	20	01/11/2022
B16336	22	19/11/2022
Y47307	17	11/11/2022
J28942	20	24/11/2022
R97867	20	19/11/2022
L95633	19	26/11/2022
Z34962	8	04/11/2022
P35224	1	21/11/2022
H59833	22	19/11/2022
U18378	28	21/11/2022
Q48675	35	22/11/2022
F69733	29	13/11/2022
M12306	3	22/11/2022
O85368	3	22/11/2022
N32257	3	12/11/2022
R19192	35	20/11/2022
Q17124	3	27/11/2022
M66769	29	15/11/2022
N22929	39	17/11/2022
J28942	28	13/11/2022
G22804	21	07/11/2022
F69733	20	01/11/2022
G22804	26	03/11/2022
L47328	42	09/11/2022
I46489	24	19/11/2022
F69733	43	03/11/2022
B16336	35	22/11/2022
L95633	0	08/11/2022
V28351	0	13/11/2022
V84299	12	21/11/2022
L91848	27	04/11/2022
F69733	22	08/11/2022
E80025	31	10/11/2022
N61159	22	19/11/2022
N28315	2	21/11/2022
F47721	3	27/11/2022
G65344	29	13/11/2022
V02493	37	08/11/2022
M12306	0	18/11/2022
D78946	0	24/11/2022
Q48675	22	08/11/2022
F50762	24	24/11/2022
G22804	23	02/11/2022
K78882	24	24/11/2022
N80181	19	29/11/2022
F69733	28	19/11/2022
E45872	7	25/11/2022
E80025	36	14/11/2022
O18047	3	21/11/2022
V69700	24	17/11/2022
Y75396	43	06/11/2022
F50762	28	15/11/2022
U61799	0	20/11/2022
W48418	26	09/11/2022
F33683	22	28/11/2022
V69700	15	16/11/2022
Z34962	23	18/11/2022
Y96988	24	01/11/2022
A70424	19	22/11/2022
V84299	33	13/11/2022
B46727	17	11/11/2022
C70945	23	18/11/2022
S92802	28	04/11/2022
Z91269	21	28/11/2022
F50762	3	05/11/2022
E80025	22	20/11/2022
Z27737	25	13/11/2022
Z53323	23	17/11/2022
E80025	20	09/11/2022
B46727	21	16/11/2022
Z86263	24	27/11/2022
D78946	23	09/11/2022
Q48675	3	20/11/2022
L97294	28	28/11/2022
V84299	43	15/11/2022
V90078	19	18/11/2022
C70945	27	21/11/2022
Z34962	28	20/11/2022
W84980	42	29/11/2022
C70945	41	08/11/2022
L47328	29	17/11/2022
K78882	20	07/11/2022
P35224	21	26/11/2022
V02493	28	28/11/2022
U18378	33	02/11/2022
Z27737	43	26/11/2022
Z53323	17	16/11/2022
S92802	14	06/11/2022
N32257	1	10/11/2022
B77851	30	14/11/2022
V84299	22	09/11/2022
Z34962	0	09/11/2022
C00234	22	04/11/2022
L97294	23	13/11/2022
N22929	19	08/11/2022
K24786	12	01/11/2022
V90078	30	16/11/2022
B46727	23	17/11/2022
Z86263	20	06/11/2022
N28315	27	27/11/2022
D78946	15	19/11/2022
V84299	17	08/11/2022
N80181	34	13/11/2022
Z91269	26	21/11/2022
F16023	26	25/11/2022
I29058	0	09/11/2022
L91848	28	19/11/2022
B46727	28	11/11/2022
M66769	18	12/11/2022
D78946	37	20/11/2022
